3801 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 03:57 04:02 04:06 04:10 04:15 04:20
3803 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 04:52 04:57 05:01 05:05 05:10 05:15
3805 ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- 05:17 05:22 05:26 05:30 05:35 05:40
3807 05:00 05:08 05:12 05:15 05:18 05:22 05:25 05:28 05:33 05:37 05:42 05:47 05:51 05:55 06:00 06:05
3809 05:20 05:28 05:32 05:35 05:38 05:42 05:45 05:48 05:53 05:57 06:02 06:07 06:11 06:15 06:20 06:25
3811 05:50 05:58 06:02 06:05 06:08 06:12 06:15 06:18 06:23 06:27 06:32 06:37 06:41 06:45 06:50 06:55
3813 06:20 06:28 06:32 06:35 06:38 06:42 06:45 06:48 06:53 06:57 07:02 07:07 07:11 07:15 07:20 07:25
3815 06:38 06:46 06:50 06:53 06:56 07:00 07:03 07:06 07:11 07:15 07:20 07:25 07:29 07:33 07:38 07:43
3817 06:57 07:05 07:09 07:12 07:15 07:19 07:22 07:25 07:30 07:34 07:39 07:44 07:48 07:52 07:57 08:02
3819 07:15 07:23 07:27 07:30 07:33 07:37 07:40 07:43 07:48 07:52 07:57 08:02 08:06 08:10 08:15 08:20
3821 07:35 07:43 07:47 07:50 07:53 07:57 08:00 08:03 08:08 08:12 08:17 08:22 08:26 08:30 08:35 08:40
3823 08:00 08:08 08:12 08:15 08:18 08:22 08:25 08:28 08:33 08:37 08:42 08:47 08:51 08:55 09:00 09:05
3825 08:22 08:30 08:34 08:37 08:40 08:44 08:47 08:50 08:55 08:59 09:04 09:09 09:13 09:17 09:22 09:27
3827 08:40 08:48 08:52 08:55 08:58 09:02 09:05 09:08 09:13 09:17 09:22 09:27 09:31 09:35 09:40 09:45
3829 08:58 09:06 09:10 09:13 09:16 09:20 09:23 09:26 09:31 09:35 09:40 09:45 09:49 09:53 09:58 10:03
3831 09:16 09:24 09:28 09:31 09:34 09:38 09:41 09:44 09:49 09:53 09:58 10:03 10:07 10:11 10:16 10:21
3833 09:34 09:42 09:46 09:49 09:52 09:56 09:59 10:02 10:07 10:11 10:16 10:21 10:25 10:29 10:34 10:39
3835 09:52 10:00 10:04 10:07 10:10 10:14 10:17 10:20 10:25 10:29 10:34 10:39 10:43 10:47 10:52 10:57
3837 10:10 10:18 10:22 10:25 10:28 10:32 10:35 10:38 10:43 10:47 10:52 10:57 11:01 11:05 11:10 11:15
3839 10:28 10:36 10:40 10:43 10:46 10:50 10:53 10:56 11:01 11:05 11:10 11:15 11:19 11:23 11:28 11:33
3841 10:46 10:54 10:58 11:01 11:04 11:08 11:11 11:14 11:19 11:23 11:28 11:33 11:37 11:41 11:46 11:51
3843 11:04 11:12 11:16 11:19 11:22 11:26 11:29 11:32 11:37 11:41 11:46 11:51 11:55 11:59 12:04 12:09
3845 11:22 11:30 11:34 11:37 11:40 11:44 11:47 11:50 11:55 11:59 12:04 12:09 12:13 12:17 12:22 12:27
3847 11:40 11:48 11:52 11:55 11:58 12:02 12:05 12:08 12:13 12:17 12:22 12:27 12:31 12:35 12:40 12:45
3849 11:58 12:06 12:10 12:13 12:16 12:20 12:23 12:26 12:31 12:35 12:40 12:45 12:49 12:53 12:58 13:03
3851 12:16 12:24 12:28 12:31 12:34 12:38 12:41 12:44 12:49 12:53 12:58 13:03 13:07 13:11 13:16 13:21
3853 12:34 12:42 12:46 12:49 12:52 12:56 12:59 13:02 13:07 13:11 13:16 13:21 13:25 13:29 13:34 13:39
3855 12:52 13:00 13:04 13:07 13:10 13:14 13:17 13:20 13:25 13:29 13:34 13:39 13:43 13:47 13:52 13:57
3857 13:10 13:18 13:22 13:25 13:28 13:32 13:35 13:38 13:43 13:47 13:52 13:57 14:01 14:05 14:10 14:15
3859 13:28 13:36 13:40 13:43 13:46 13:50 13:53 13:56 14:01 14:05 14:10 14:15 14:19 14:23 14:28 14:33
3861 13:46 13:54 13:58 14:01 14:04 14:08 14:11 14:14 14:19 14:23 14:28 14:33 14:37 14:41 14:46 14:51
3863 14:04 14:12 14:16 14:19 14:22 14:26 14:29 14:32 14:37 14:41 14:46 14:51 14:55 14:59 15:04 15:09
3865 14:22 14:30 14:34 14:37 14:40 14:44 14:47 14:50 14:55 14:59 15:04 15:09 15:13 15:17 15:22 15:27
3867 14:40 14:48 14:52 14:55 14:58 15:02 15:05 15:08 15:13 15:17 15:22 15:27 15:31 15:35 15:40 15:45
3869 14:58 15:06 15:10 15:13 15:16 15:20 15:23 15:26 15:31 15:35 15:40 15:45 15:49 15:53 15:58 16:03
3871 15:16 15:24 15:28 15:31 15:34 15:38 15:41 15:44 15:49 15:53 15:58 16:03 16:07 16:11 16:16 16:21
3873 15:34 15:42 15:46 15:49 15:52 15:56 15:59 16:02 16:07 16:11 16:16 16:21 16:25 16:29 16:34 16:39
3875 15:52 16:00 16:04 16:07 16:10 16:14 16:17 16:20 16:25 16:29 16:34 16:39 16:43 16:47 16:52 16:57
3877 16:10 16:18 16:22 16:25 16:28 16:32 16:35 16:38 16:43 16:47 16:52 16:57 17:01 17:05 17:10 17:15
3879 16:28 16:36 16:40 16:43 16:46 16:50 16:53 16:56 17:01 17:05 17:10 17:15 17:19 17:23 17:28 17:33
